,Unnamed: 0,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta,pred,
0,0.0,0.0,2020-01-22,555.0,17.0,28.0,555.0,510.0,-45.0,,
1,1.0,1.0,2020-01-23,98.0,1.0,2.0,653.0,605.0,-48.0,,
2,2.0,2.0,2020-01-24,288.0,8.0,6.0,941.0,879.0,-62.0,,
3,3.0,3.0,2020-01-25,497.0,16.0,3.0,1438.0,1357.0,-81.0,,
4,4.0,4.0,2020-01-26,680.0,14.0,13.0,2118.0,2010.0,-108.0,,
5,5.0,5.0,2020-01-27,809.0,26.0,9.0,2927.0,2784.0,-143.0,,
6,6.0,6.0,2020-01-28,2651.0,49.0,46.0,5578.0,5340.0,-238.0,,
7,7.0,7.0,2020-01-29,587.0,2.0,19.0,6165.0,5906.0,-259.0,,
8,8.0,8.0,2020-01-30,2070.0,38.0,17.0,8235.0,7921.0,-314.0,,
9,9.0,9.0,2020-01-31,1690.0,42.0,79.0,9925.0,9490.0,-435.0,,
10,10.0,10.0,2020-02-01,2113.0,46.0,62.0,12038.0,11495.0,-543.0,,
11,11.0,11.0,2020-02-02,4749.0,103.0,188.0,16787.0,15953.0,-834.0,,
12,12.0,12.0,2020-02-03,3094.0,64.0,151.0,19881.0,18832.0,-1049.0,,
13,13.0,13.0,2020-02-04,4011.0,66.0,229.0,23892.0,22548.0,-1344.0,,
14,14.0,14.0,2020-02-05,3744.0,72.0,272.0,27636.0,25948.0,-1688.0,,
15,15.0,15.0,2020-02-06,3182.0,70.0,363.0,30818.0,28697.0,-2121.0,,
16,16.0,16.0,2020-02-07,3574.0,85.0,524.0,34392.0,31662.0,-2730.0,,
17,17.0,17.0,2020-02-08,2729.0,87.0,605.0,37121.0,33699.0,-3422.0,,
18,18.0,18.0,2020-02-09,3030.0,100.0,628.0,40151.0,36001.0,-4150.0,,
19,19.0,19.0,2020-02-10,2612.0,107.0,702.0,42763.0,37804.0,-4959.0,,
20,20.0,20.0,2020-02-11,2040.0,100.0,737.0,44803.0,39007.0,-5796.0,,
21,21.0,21.0,2020-02-12,419.0,5.0,467.0,45222.0,38954.0,-6268.0,,
22,22.0,22.0,2020-02-13,15148.0,253.0,1145.0,60370.0,52704.0,-7666.0,,
23,23.0,23.0,2020-02-14,6517.0,152.0,1763.0,66887.0,57306.0,-9581.0,,
24,24.0,24.0,2020-02-15,2145.0,143.0,1337.0,69032.0,57971.0,-11061.0,,
25,25.0,25.0,2020-02-16,2194.0,104.0,1470.0,71226.0,58591.0,-12635.0,,
26,26.0,26.0,2020-02-17,2034.0,98.0,1718.0,73260.0,58809.0,-14451.0,,
27,27.0,27.0,2020-02-18,1878.0,139.0,1769.0,75138.0,58779.0,-16359.0,,
28,28.0,28.0,2020-02-19,503.0,115.0,1769.0,75641.0,57398.0,-18243.0,,
29,29.0,29.0,2020-02-20,558.0,125.0,2056.0,76199.0,55775.0,-20424.0,,
30,30.0,30.0,2020-02-21,644.0,4.0,713.0,76843.0,55702.0,-21141.0,,
31,31.0,31.0,2020-02-22,1756.0,207.0,3996.0,78599.0,53255.0,-25344.0,,
32,32.0,32.0,2020-02-23,386.0,11.0,508.0,78985.0,53122.0,-25863.0,,
33,33.0,33.0,2020-02-24,585.0,160.0,1833.0,79570.0,51714.0,-27856.0,,
